English	Material
is	O
shown	O
to	O
be	O
trans-context-free	O
on	O
the	O
basis	O
of	O
coordinations	OtherScientificTerm
of	O
the	O
respectively	O
type	O
that	O
involve	O
strictly	OtherScientificTerm
syntactic	OtherScientificTerm
cross-serial	OtherScientificTerm
agreement	OtherScientificTerm
.	O
The	O
agreement	Generic
in	O
question	O
involves	O
number	O
in	O
nouns	OtherScientificTerm
and	O
reflexive	OtherScientificTerm
pronouns	OtherScientificTerm
and	O
is	O
syntactic	O
rather	O
than	O
semantic	O
in	O
nature	O
because	O
grammatical	OtherScientificTerm
number	OtherScientificTerm
in	O
English	Material
,	O
like	O
grammatical	OtherScientificTerm
gender	OtherScientificTerm
in	O
languages	Material
such	O
as	O
French	Material
,	O
is	O
partly	O
arbitrary	O
.	O
The	O
formal	O
proof	O
,	O
which	O
makes	O
crucial	O
use	O
of	O
the	O
Interchange	Method
Lemma	Method
of	O
Ogden	O
et	O
al.	O
,	O
is	O
so	O
constructed	O
as	O
to	O
be	O
valid	O
even	O
if	O
English	Material
is	O
presumed	O
to	O
contain	O
grammatical	O
sentences	O
in	O
which	O
respectively	O
operates	O
across	O
a	O
pair	O
of	O
coordinate	O
phrases	O
one	O
of	O
whose	O
members	O
has	O
fewer	O
conjuncts	O
than	O
the	O
other	O
;	O
it	O
thus	O
goes	O
through	O
whatever	O
the	O
facts	O
may	O
be	O
regarding	O
constructions	O
with	O
unequal	O
numbers	O
of	O
conjuncts	O
in	O
the	O
scope	O
of	O
respectively	O
,	O
whereas	O
other	O
arguments	O
have	O
foundered	O
on	O
this	O
problem	O
.	O

In	O
this	O
paper	O
,	O
a	O
novel	O
method	Method
to	O
learn	O
the	O
intrinsic	OtherScientificTerm
object	OtherScientificTerm
structure	OtherScientificTerm
for	O
robust	Task
visual	Task
tracking	Task
is	O
proposed	O
.	O
The	O
basic	O
assumption	O
is	O
that	O
the	O
parameterized	OtherScientificTerm
object	OtherScientificTerm
state	OtherScientificTerm
lies	O
on	O
a	O
low	OtherScientificTerm
dimensional	OtherScientificTerm
manifold	OtherScientificTerm
and	O
can	O
be	O
learned	O
from	O
training	O
data	O
.	O
Based	O
on	O
this	O
assumption	O
,	O
firstly	O
we	O
derived	O
the	O
dimensionality	Method
reduction	Method
and	Method
density	Method
estimation	Method
algorithm	Method
for	O
unsupervised	Task
learning	Task
of	Task
object	Method
intrinsic	Method
representation	Method
,	O
the	O
obtained	O
non-rigid	OtherScientificTerm
part	OtherScientificTerm
of	OtherScientificTerm
object	OtherScientificTerm
state	OtherScientificTerm
reduces	O
even	O
to	O
2	O
dimensions	O
.	O
Secondly	O
the	O
dynamical	Method
model	Method
is	O
derived	O
and	O
trained	O
based	O
on	O
this	O
intrinsic	Method
representation	Method
.	O
Thirdly	O
the	O
learned	O
intrinsic	OtherScientificTerm
object	OtherScientificTerm
structure	OtherScientificTerm
is	O
integrated	O
into	O
a	O
particle-filter	Method
style	Method
tracker	Method
.	O
We	O
will	O
show	O
that	O
this	O
intrinsic	Method
object	Method
representation	Method
has	O
some	O
interesting	O
properties	O
and	O
based	O
on	O
which	O
the	O
newly	O
derived	O
dynamical	Method
model	Method
makes	O
particle-filter	Method
style	Method
tracker	Method
more	O
robust	O
and	O
reliable	O
.	O
Experiments	O
show	O
that	O
the	O
learned	O
tracker	Generic
performs	O
much	O
better	O
than	O
existing	O
trackers	Generic
on	O
the	O
tracking	Task
of	Task
complex	OtherScientificTerm
non-rigid	OtherScientificTerm
motions	OtherScientificTerm
such	O
as	O
fish	OtherScientificTerm
twisting	OtherScientificTerm
with	O
self-occlusion	OtherScientificTerm
and	O
large	O
inter-frame	OtherScientificTerm
lip	OtherScientificTerm
motion	OtherScientificTerm
.	O
The	O
proposed	O
method	Generic
also	O
has	O
the	O
potential	O
to	O
solve	O
other	O
type	O
of	O
tracking	Task
problems	Task
.	O

In	O
this	O
paper	O
,	O
we	O
present	O
a	O
digital	Method
signal	Method
processor	Method
-LRB-	Method
DSP	Method
-RRB-	Method
implementation	Method
of	O
real-time	Method
statistical	Method
voice	Method
conversion	Method
-LRB-	Method
VC	Method
-RRB-	Method
for	O
silent	Task
speech	Task
enhancement	Task
and	O
electrolaryngeal	Task
speech	Task
enhancement	Task
.	O
As	O
a	O
silent	OtherScientificTerm
speech	OtherScientificTerm
interface	OtherScientificTerm
,	O
we	O
focus	O
on	O
non-audible	Material
murmur	Material
-LRB-	Material
NAM	Material
-RRB-	Material
,	O
which	O
can	O
be	O
used	O
in	O
situations	O
where	O
audible	Material
speech	Material
is	O
not	O
acceptable	O
.	O
Electrolaryngeal	Material
speech	Material
is	O
one	O
of	O
the	O
typical	O
types	O
of	O
alaryngeal	Material
speech	Material
produced	O
by	O
an	O
alternative	O
speaking	Method
method	Method
for	O
laryngectomees	OtherScientificTerm
.	O
However	O
,	O
the	O
sound	Metric
quality	Metric
of	O
NAM	Material
and	Material
electrolaryngeal	Material
speech	Material
suffers	O
from	O
lack	O
of	O
naturalness	O
.	O
VC	Method
has	O
proven	O
to	O
be	O
one	O
of	O
the	O
promising	O
approaches	O
to	O
address	O
this	O
problem	O
,	O
and	O
it	Generic
has	O
been	O
successfully	O
implemented	O
on	O
devices	Generic
