English Material
is O
shown O
to O
be O
trans-context-free O
on O
the O
basis O
of O
coordinations OtherScientificTerm
of O
the O
respectively O
type O
that O
involve O
strictly OtherScientificTerm
syntactic OtherScientificTerm
cross-serial OtherScientificTerm
agreement OtherScientificTerm
. O

The O
agreement O
in O
question O
involves O
number O
in O
nouns O
and O
reflexive O
pronouns O
and O
is O
syntactic O
rather O
than O
semantic O
in O
nature O
because O
grammatical O
number O
in O
English Generic
, O
like O
grammatical O
gender O
in O
languages OtherScientificTerm
such O
as OtherScientificTerm
French OtherScientificTerm
, O
is O
partly O
arbitrary O
. O

The O
formal O
proof O
, O
which O
makes O
crucial O
use O
of O
the O
Interchange O
Lemma O
of O
Ogden O
et O
al. O
, O
is O
so O
constructed O
as O
to O
be O
valid O
even O
if O
English O
is O
presumed O
to O
contain O
grammatical O
sentences O
in O
which O
respectively O
operates O
across O
a O
pair O
of O
coordinate O
phrases O
one O
of O
whose O
members O
has O
fewer O
conjuncts O
than O
the O
other O
; O
it O
thus O
goes O
through O
whatever O
the O
facts O
may O
be O
regarding O
constructions O
with O
unequal O
numbers O
of O
conjuncts O
in Method
the Method
scope O
of O
respectively O
, O
whereas O
other O
arguments O
have O
foundered O
on O
this O
problem O
. O

In O
this O
paper O
, O
a O
novel O
method Method
to O
learn O
the O
intrinsic OtherScientificTerm
object OtherScientificTerm
structure OtherScientificTerm
for O
robust Task
visual Task
tracking Task
is O
proposed O
. O

The O
basic O
assumption O
is O
that O
the O
parameterized O
object O
state O
lies O
on O
a O
low O
dimensional O
manifold O
and O
can O
be O
learned O
from O
training O
data O
. O

Based O
on O
this O
assumption O
, O
firstly O
we O
derived O
the O
dimensionality O
reduction O
and O
density O
estimation O
algorithm O
for O
unsupervised O
learning O
of O
object O
intrinsic O
representation O
, O
the O
obtained O
non-rigid O
part O
of O
object O
state O
reduces O
even O
to O
2 O
dimensions O
. O

Secondly O
the O
dynamical O
model O
is O
derived O
and O
trained O
based O
on O
this O
intrinsic O
representation O
. O

Thirdly O
the O
learned O
intrinsic O
object O
structure O
is O
integrated O
into O
a O
particle-filter O
style O
tracker O
. O

We O
will O
show O
that O
this O
intrinsic O
object O
representation O
has O
some O
interesting O
properties O
and O
based O
on O
which O
the O
newly O
derived O
dynamical O
model O
makes O
particle-filter O
style O
tracker O
more O
robust O
and O
reliable O
. O

Experiments O
show O
that O
the O
learned O
tracker O
performs O
much O
better O
than O
existing O
trackers O
on O
the O
tracking O
of O
complex O
non-rigid O
motions O
such O
as O
fish O
twisting O
with O
self-occlusion O
and O
large O
inter-frame O
lip O
motion O
. O

The O
proposed O
method O
also O
has O
the O
potential O
to O
solve O
other O
type O
of O
tracking O
problems O
. O

In O
this O
paper O
, O
we O
present O
a O
digital Method
signal Method
processor Method
-LRB- Method
DSP Method
-RRB- Method
implementation Method
of O
real-time Method
statistical Method
voice Method
conversion Method
-LRB- Method
VC Method
-RRB- Method
for O
silent Task
speech Task
enhancement Task
and O
electrolaryngeal Task
speech Task
enhancement Task
. O

As O
a O
silent O
speech O
interface O
, O
we O
focus O
on O
non-audible O
murmur O
-LRB- O
NAM O
-RRB- O
, O
which O
can O
be O
used O
in O
situations O
where O
audible O
speech O
is O
not O
acceptable O
. O

Electrolaryngeal O
speech O
is O
one O
of O
the O
typical O
types O
of O
alaryngeal O
speech O
produced O
by O
an O
alternative O
speaking O
method O
for O
laryngectomees O
. O

However O
, O
the O
sound O
quality O
of O
NAM O
and O
electrolaryngeal O
speech O
suffers O
from O
lack O
of O
naturalness O
. O

VC O
has O
proven O
to O
be O
one O
of O
the O
promising O
approaches O
to O
address O
this O
problem O
, O
and O
it O
has O
been O
successfully O
implemented O
on O
devices O
with O
sufficient O
computational O
resources O
. O

An O
implementation O
on O
devices O
that O
are O
highly O
portable O
but O
have O
limited O
computational O
resources O
would O
greatly O
contribute O
to O
its O
practical O
use O
. O

In O
this O
paper O
we O
further O
implement O
real-time O
VC O
on O
a O
DSP O
. O

To O
implement O
the O
two O
speech O
enhancement O
systems O
based O
on O
real-time O
VC O
, O
one O
from O
NAM O
to O
a O
whispered O
voice O
and O
the O
other O
from O
electrolaryngeal O
speech O
to O
a O
natural O
voice O
, O
we O
propose O
several O
methods O
for O
reducing O
computational O
cost O
while O
preserving O
conversion O
accuracy O
. O

We O
conduct O
experimental O
evaluations O
and O
show O
that O
real-time O
VC O
is O
capable O
of O
running O
on O
a O
DSP O
with O
little O
degradation O
. O

We O
propose O
a O
method Generic
that O
automatically O
generates O
paraphrase OtherScientificTerm
sets O
from O
seed O
sentences O
to O
be O
used O
as O
reference O
sets O
in O
objective O
machine Metric
translation Metric
evaluation Metric
measures Metric
like O
BLEU Metric
and O
NIST Metric
. O

We O
measured O
the O
quality O
of O
the O
paraphrases O
produced O
in O
an O
experiment O
, O
i.e. O
, O
-LRB- O
i O
-RRB- O
their O
grammaticality O
: O
at O
least O
99 O
% O
correct O
sentences O
; O
-LRB- O
ii O
-RRB- O
their O
equivalence O
in O
meaning O
: O
at OtherScientificTerm
least O
96 O
% O
correct O
paraphrases O
either O
by O
meaning O
equivalence O
or O
entailment O
; Metric
and O
, O
-LRB- O
iii O
